ticker,stock,datetime,open,high,close,low,volume
002717.SZ,岭南股份,2024-01-02 00:00:00,3.2000,3.2800,3.1900,3.1700,76161850
002717.SZ,岭南股份,2024-01-03 00:00:00,3.1700,3.2100,3.1600,3.1100,54168500
002717.SZ,岭南股份,2024-01-04 00:00:00,3.1600,3.1600,3.1200,3.1000,32995600
002717.SZ,岭南股份,2024-01-05 00:00:00,3.1400,3.1500,3.0500,3.0400,33551600
002717.SZ,岭南股份,2024-01-08 00:00:00,3.0200,3.0700,2.9700,2.9700,35078650
002717.SZ,岭南股份,2024-01-09 00:00:00,3.0000,3.0400,2.9900,2.9500,37229600
002717.SZ,岭南股份,2024-01-10 00:00:00,2.9700,2.9800,2.9200,2.9200,30432065
002717.SZ,岭南股份,2024-01-11 00:00:00,2.9300,3.0200,3.0000,2.9200,33993893
002717.SZ,岭南股份,2024-01-12 00:00:00,3.0600,3.1000,2.9800,2.9800,48025971
002717.SZ,岭南股份,2024-01-15 00:00:00,2.9600,2.9800,2.9400,2.9300,25381600
002717.SZ,岭南股份,2024-01-16 00:00:00,2.9300,2.9600,2.9300,2.8800,29854550
002717.SZ,岭南股份,2024-01-17 00:00:00,2.9200,2.9300,2.8600,2.8600,23005800
002717.SZ,岭南股份,2024-01-18 00:00:00,2.8500,2.8800,2.8800,2.7800,28447293
002717.SZ,岭南股份,2024-01-19 00:00:00,2.8700,2.8900,2.8200,2.8200,17905400
002717.SZ,岭南股份,2024-01-22 00:00:00,2.8200,2.8300,2.6500,2.6200,31552958
002717.SZ,岭南股份,2024-01-23 00:00:00,2.6700,2.6700,2.6600,2.5800,20161794
002717.SZ,岭南股份,2024-01-24 00:00:00,2.6700,2.7000,2.6900,2.6100,20309184
002717.SZ,岭南股份,2024-01-25 00:00:00,2.6900,2.7700,2.7500,2.6800,24050610
002717.SZ,岭南股份,2024-01-26 00:00:00,2.7500,2.7900,2.7500,2.7400,20895900
002717.SZ,岭南股份,2024-01-29 00:00:00,2.7500,2.7700,2.6800,2.6800,18743000
002717.SZ,岭南股份,2024-01-30 00:00:00,2.6800,2.7100,2.6500,2.6400,16249150
002717.SZ,岭南股份,2024-01-31 00:00:00,2.5900,2.6200,2.4600,2.4500,38564267
002717.SZ,岭南股份,2024-02-01 00:00:00,2.4500,2.4600,2.3800,2.3600,25670900
002717.SZ,岭南股份,2024-02-02 00:00:00,2.3600,2.4200,2.2000,2.1400,55788707
002717.SZ,岭南股份,2024-02-05 00:00:00,2.1800,2.1900,1.9800,1.9800,47539722
002717.SZ,岭南股份,2024-02-06 00:00:00,1.8800,2.0700,1.9800,1.7900,42537509
002717.SZ,岭南股份,2024-02-07 00:00:00,2.0100,2.0300,1.8500,1.8000,48787099
002717.SZ,岭南股份,2024-02-08 00:00:00,1.8500,2.0200,2.0100,1.8500,37262604
002717.SZ,岭南股份,2024-02-19 00:00:00,2.0600,2.1300,2.1200,2.0600,35900535
002717.SZ,岭南股份,2024-02-20 00:00:00,2.1600,2.2100,2.2000,2.1000,48321400
002717.SZ,岭南股份,2024-02-21 00:00:00,2.1700,2.2900,2.2100,2.1500,47750728
002717.SZ,岭南股份,2024-02-22 00:00:00,2.2200,2.4300,2.3600,2.2100,92459000
002717.SZ,岭南股份,2024-02-23 00:00:00,2.3500,2.3800,2.3500,2.2900,61748550
002717.SZ,岭南股份,2024-02-26 00:00:00,2.3600,2.4700,2.4300,2.3300,67357633
002717.SZ,岭南股份,2024-02-27 00:00:00,2.4000,2.4800,2.4700,2.3800,44227538
002717.SZ,岭南股份,2024-02-28 00:00:00,2.4700,2.5100,2.2900,2.2700,75040540
002717.SZ,岭南股份,2024-02-29 00:00:00,2.2700,2.3900,2.3800,2.2500,41968678
002717.SZ,岭南股份,2024-03-01 00:00:00,2.3800,2.4100,2.3900,2.3400,31312490
002717.SZ,岭南股份,2024-03-04 00:00:00,2.3800,2.4000,2.3700,2.3200,29318740
002717.SZ,岭南股份,2024-03-05 00:00:00,2.3500,2.3500,2.2900,2.2800,30476720
002717.SZ,岭南股份,2024-03-06 00:00:00,2.2800,2.3800,2.3400,2.2700,36084750
002717.SZ,岭南股份,2024-03-07 00:00:00,2.3200,2.3500,2.2800,2.2700,31837985
002717.SZ,岭南股份,2024-03-08 00:00:00,2.2800,2.3100,2.2900,2.2600,18475954
002717.SZ,岭南股份,2024-03-11 00:00:00,2.2800,2.3400,2.3400,2.2700,29245970
002717.SZ,岭南股份,2024-03-12 00:00:00,2.3400,2.3900,2.3800,2.3400,31223614
002717.SZ,岭南股份,2024-03-13 00:00:00,2.3700,2.3900,2.3600,2.3300,26181805
002717.SZ,岭南股份,2024-03-14 00:00:00,2.3500,2.3800,2.3400,2.3100,28888399
002717.SZ,岭南股份,2024-03-15 00:00:00,2.3300,2.3800,2.3800,2.3000,32423298
002717.SZ,岭南股份,2024-03-18 00:00:00,2.3800,2.4600,2.4500,2.3700,44988017
002717.SZ,岭南股份,2024-03-19 00:00:00,2.4200,2.4500,2.3900,2.3900,36673968
002717.SZ,岭南股份,2024-03-20 00:00:00,2.3900,2.6300,2.5400,2.3900,138996692
002717.SZ,岭南股份,2024-03-21 00:00:00,2.5500,2.6700,2.6500,2.5500,166897817
002717.SZ,岭南股份,2024-03-22 00:00:00,2.5800,2.6000,2.5300,2.5000,83029205
002717.SZ,岭南股份,2024-03-25 00:00:00,2.5100,2.5200,2.4100,2.4100,47263685
002717.SZ,岭南股份,2024-03-26 00:00:00,2.3800,2.4300,2.4200,2.3400,36603095
002717.SZ,岭南股份,2024-03-27 00:00:00,2.4100,2.4100,2.3200,2.3200,28342100
002717.SZ,岭南股份,2024-03-28 00:00:00,2.3000,2.3900,2.3400,2.3000,27270600
002717.SZ,岭南股份,2024-03-29 00:00:00,2.3500,2.3500,2.3400,2.3100,21711935
002717.SZ,岭南股份,2024-04-01 00:00:00,2.3300,2.3700,2.3700,2.3300,25760215
002717.SZ,岭南股份,2024-04-02 00:00:00,2.3600,2.3700,2.3500,2.3300,25347915
002717.SZ,岭南股份,2024-04-03 00:00:00,2.3500,2.3500,2.2900,2.2700,28370064
002717.SZ,岭南股份,2024-04-08 00:00:00,2.2800,2.2800,2.1900,2.1800,31929912
002717.SZ,岭南股份,2024-04-09 00:00:00,2.1800,2.2300,2.2200,2.1800,14033200
002717.SZ,岭南股份,2024-04-10 00:00:00,2.2200,2.2200,2.1400,2.1200,25984663
002717.SZ,岭南股份,2024-04-11 00:00:00,2.1100,2.1900,2.1400,2.1100,15872200
002717.SZ,岭南股份,2024-04-12 00:00:00,2.1400,2.1700,2.1100,2.1000,16733800
002717.SZ,岭南股份,2024-04-15 00:00:00,2.1100,2.1300,2.0100,1.9400,40328034
002717.SZ,岭南股份,2024-04-16 00:00:00,2.0000,2.0000,1.8400,1.8400,38500765
002717.SZ,岭南股份,2024-04-17 00:00:00,1.8600,1.9700,1.9500,1.8600,24217717
002717.SZ,岭南股份,2024-04-18 00:00:00,1.9500,1.9600,1.9200,1.9000,21871563
002717.SZ,岭南股份,2024-04-19 00:00:00,1.9100,1.9400,1.8900,1.8900,18750344
002717.SZ,岭南股份,2024-04-22 00:00:00,1.9000,1.9100,1.8500,1.8200,18723141
002717.SZ,岭南股份,2024-04-23 00:00:00,1.8600,1.9200,1.8900,1.8500,22257937
002717.SZ,岭南股份,2024-04-24 00:00:00,1.8800,1.9000,1.8900,1.8500,21062384
002717.SZ,岭南股份,2024-04-25 00:00:00,1.8700,1.9000,1.8700,1.8500,23483198
002717.SZ,岭南股份,2024-04-26 00:00:00,1.8700,1.8800,1.8700,1.8300,29163622
002717.SZ,岭南股份,2024-04-29 00:00:00,1.8600,1.9800,1.9800,1.8500,44708500
002717.SZ,岭南股份,2024-04-30 00:00:00,1.9500,1.9600,1.8900,1.8500,54970442
002717.SZ,岭南股份,2024-05-06 00:00:00,1.8900,1.9300,1.9000,1.8900,23335095
002717.SZ,岭南股份,2024-05-07 00:00:00,1.9200,1.9300,1.9200,1.9000,20746455
002717.SZ,岭南股份,2024-05-08 00:00:00,1.9100,1.9200,1.8800,1.8800,19794204
002717.SZ,岭南股份,2024-05-09 00:00:00,1.8600,1.9500,1.9400,1.8600,33987904
002717.SZ,岭南股份,2024-05-10 00:00:00,1.9300,1.9300,1.8800,1.8700,30568985
002717.SZ,岭南股份,2024-05-13 00:00:00,1.8700,1.8900,1.8600,1.8500,20882723
002717.SZ,岭南股份,2024-05-14 00:00:00,1.8600,1.9100,1.9100,1.8500,30326085
002717.SZ,岭南股份,2024-05-15 00:00:00,1.8900,1.8900,1.8800,1.8600,21567343
002717.SZ,岭南股份,2024-05-16 00:00:00,1.8700,1.9200,1.9100,1.8700,34462324
002717.SZ,岭南股份,2024-05-17 00:00:00,1.9100,1.9900,1.9700,1.9000,45644913
002717.SZ,岭南股份,2024-05-20 00:00:00,1.9500,1.9800,1.9300,1.9200,37243949
002717.SZ,岭南股份,2024-05-21 00:00:00,1.9300,1.9300,1.8700,1.8600,34288566
002717.SZ,岭南股份,2024-05-22 00:00:00,1.8600,1.8900,1.6800,1.6800,65409400
002717.SZ,岭南股份,2024-05-23 00:00:00,1.5100,1.5100,1.5100,1.5100,14931300
002717.SZ,岭南股份,2024-05-24 00:00:00,1.3600,1.5600,1.4400,1.3600,178520556
002717.SZ,岭南股份,2024-05-27 00:00:00,1.3100,1.4000,1.3600,1.3100,121219401
002717.SZ,岭南股份,2024-05-28 00:00:00,1.3600,1.4100,1.3300,1.3200,84626903
002717.SZ,岭南股份,2024-05-29 00:00:00,1.3000,1.3400,1.2000,1.2000,125483706
002717.SZ,岭南股份,2024-05-30 00:00:00,1.1100,1.2100,1.1800,1.1100,129516828
002717.SZ,岭南股份,2024-05-31 00:00:00,1.1500,1.2600,1.2300,1.1500,93293505
002717.SZ,岭南股份,2024-06-03 00:00:00,1.2500,1.2700,1.1600,1.1500,67154760
002717.SZ,岭南股份,2024-06-04 00:00:00,1.1600,1.1600,1.0400,1.0400,93143235
002717.SZ,岭南股份,2024-06-05 00:00:00,0.9900,1.1400,1.1400,0.9800,149295879
002717.SZ,岭南股份,2024-06-06 00:00:00,1.1400,1.1400,1.0400,1.0300,130415198
002717.SZ,岭南股份,2024-06-07 00:00:00,1.0400,1.1000,1.0700,1.0400,100888531
002717.SZ,岭南股份,2024-06-11 00:00:00,1.0400,1.0800,1.0600,1.0000,61967391
002717.SZ,岭南股份,2024-06-12 00:00:00,1.0500,1.1500,1.1200,1.0400,102395892
002717.SZ,岭南股份,2024-06-13 00:00:00,1.1000,1.1400,1.1000,1.0700,72996326
002717.SZ,岭南股份,2024-06-14 00:00:00,1.0800,1.1000,1.0800,1.0500,48804468
002717.SZ,岭南股份,2024-06-17 00:00:00,1.0800,1.0800,1.0400,1.0200,57112499
002717.SZ,岭南股份,2024-06-18 00:00:00,1.0400,1.0900,1.0900,1.0400,55307548
002717.SZ,岭南股份,2024-06-19 00:00:00,1.0700,1.0900,1.0600,1.0500,36407427
002717.SZ,岭南股份,2024-06-20 00:00:00,1.0500,1.0700,1.0100,1.0000,65148628
002717.SZ,岭南股份,2024-06-21 00:00:00,0.9900,1.0000,0.9300,0.9100,100437889
002717.SZ,岭南股份,2024-06-24 00:00:00,0.8400,0.8700,0.8400,0.8400,28234163
002717.SZ,岭南股份,2024-06-25 00:00:00,0.7700,0.9200,0.9200,0.7700,182407539
002717.SZ,岭南股份,2024-06-26 00:00:00,0.8800,1.0000,0.9600,0.8500,183269480
002717.SZ,岭南股份,2024-06-27 00:00:00,0.9300,0.9800,0.9100,0.9000,115033534
002717.SZ,岭南股份,2024-06-28 00:00:00,0.9000,0.9300,0.9000,0.8700,87492940
002717.SZ,岭南股份,2024-07-01 00:00:00,0.9100,0.9800,0.9700,0.8700,100737206
002717.SZ,岭南股份,2024-07-02 00:00:00,0.9600,1.0700,1.0700,0.9300,188806315
002717.SZ,岭南股份,2024-07-03 00:00:00,1.0800,1.1800,1.1800,1.0500,170677194
002717.SZ,岭南股份,2024-07-04 00:00:00,1.1900,1.2200,1.1400,1.0800,219685383
002717.SZ,岭南股份,2024-07-05 00:00:00,1.1300,1.1500,1.1100,1.0800,111336088
002717.SZ,岭南股份,2024-07-08 00:00:00,1.0800,1.1000,1.0500,1.0200,101174210
002717.SZ,岭南股份,2024-07-09 00:00:00,1.0900,1.1500,1.0900,1.0700,111489517
002717.SZ,岭南股份,2024-07-10 00:00:00,1.0600,1.0700,1.0300,1.0200,89833998
002717.SZ,岭南股份,2024-07-11 00:00:00,1.0100,1.0500,1.0300,0.9900,88372340
002717.SZ,岭南股份,2024-07-12 00:00:00,1.0200,1.1200,1.0700,1.0200,106899189
002717.SZ,岭南股份,2024-07-15 00:00:00,1.0400,1.0700,1.0200,1.0100,74106800
002717.SZ,岭南股份,2024-07-16 00:00:00,1.0100,1.0500,1.0500,1.0000,72486005
002717.SZ,岭南股份,2024-07-17 00:00:00,1.0400,1.1500,1.1100,1.0300,148327846
002717.SZ,岭南股份,2024-07-18 00:00:00,1.0600,1.0800,1.0300,1.0000,139282871
002717.SZ,岭南股份,2024-07-19 00:00:00,1.0000,1.0200,0.9400,0.9300,112743224
002717.SZ,岭南股份,2024-07-22 00:00:00,0.9100,0.9900,0.9800,0.8700,97456001
002717.SZ,岭南股份,2024-07-23 00:00:00,0.9600,1.0000,0.9500,0.9500,68458191
002717.SZ,岭南股份,2024-07-24 00:00:00,0.9400,0.9700,0.9500,0.9200,64893566
002717.SZ,岭南股份,2024-07-25 00:00:00,0.9400,1.0000,0.9600,0.9100,88695986
002717.SZ,岭南股份,2024-07-26 00:00:00,0.9400,0.9600,0.9300,0.9200,68159105
002717.SZ,岭南股份,2024-07-29 00:00:00,0.9200,0.9800,0.9600,0.9000,86870688
002717.SZ,岭南股份,2024-07-30 00:00:00,0.9500,1.0000,0.9800,0.9400,93723248
002717.SZ,岭南股份,2024-07-31 00:00:00,0.9700,1.0300,1.0200,0.9600,120677405
002717.SZ,岭南股份,2024-08-01 00:00:00,1.0100,1.1200,1.1200,0.9900,216045069
002717.SZ,岭南股份,2024-08-02 00:00:00,1.1000,1.2200,1.1500,1.0900,262738401
002717.SZ,岭南股份,2024-08-05 00:00:00,1.1100,1.2700,1.2700,1.1000,306983040
002717.SZ,岭南股份,2024-08-06 00:00:00,1.2700,1.3300,1.2400,1.1600,279559067
002717.SZ,岭南股份,2024-08-07 00:00:00,1.1200,1.1200,1.1200,1.1200,34564600
002717.SZ,岭南股份,2024-08-08 00:00:00,1.0100,1.0100,1.0100,1.0100,17629900
002717.SZ,岭南股份,2024-08-09 00:00:00,0.9100,1.1100,1.1100,0.9100,385630530
002717.SZ,岭南股份,2024-08-12 00:00:00,1.0100,1.0800,1.0000,1.0000,305445609
002717.SZ,岭南股份,2024-08-13 00:00:00,0.9200,1.0300,1.0000,0.9000,313777880
002717.SZ,岭南股份,2024-08-14 00:00:00,0.9500,1.0000,0.9300,0.9200,194733000
002717.SZ,岭南股份,2024-08-15 00:00:00,0.8800,0.9900,0.9400,0.8600,247269159
002717.SZ,岭南股份,2024-08-16 00:00:00,0.9100,0.9800,0.9300,0.9100,176448816
002717.SZ,岭南股份,2024-08-19 00:00:00,1.0200,1.0200,1.0200,1.0200,64331653
002717.SZ,岭南股份,2024-08-20 00:00:00,1.0700,1.1200,1.1200,1.0400,276107503
002717.SZ,岭南股份,2024-08-21 00:00:00,1.0900,1.1400,1.0600,1.0200,317367936
002717.SZ,岭南股份,2024-08-22 00:00:00,1.1000,1.1300,1.0700,1.0500,239478473
002717.SZ,岭南股份,2024-08-23 00:00:00,1.0300,1.0600,1.0100,0.9800,196055443
002717.SZ,岭南股份,2024-08-26 00:00:00,1.0000,1.0600,1.0200,0.9700,155360556
002717.SZ,岭南股份,2024-08-27 00:00:00,1.0100,1.0300,1.0100,0.9900,114026427
002717.SZ,岭南股份,2024-08-28 00:00:00,1.0000,1.0600,1.0300,0.9700,143451909
002717.SZ,岭南股份,2024-08-29 00:00:00,1.0100,1.0200,1.0100,0.9900,120974747
002717.SZ,岭南股份,2024-08-30 00:00:00,1.0000,1.0500,1.0300,1.0000,160275356
002717.SZ,岭南股份,2024-09-02 00:00:00,1.0200,1.1300,1.1300,1.0200,305474679
002717.SZ,岭南股份,2024-09-03 00:00:00,1.1200,1.2300,1.1700,1.0900,363006520
002717.SZ,岭南股份,2024-09-04 00:00:00,1.1700,1.2400,1.1300,1.1100,278574115
002717.SZ,岭南股份,2024-09-05 00:00:00,1.1000,1.1500,1.1200,1.1000,175920876
002717.SZ,岭南股份,2024-09-06 00:00:00,1.1200,1.2300,1.2300,1.1100,222515439
002717.SZ,岭南股份,2024-09-09 00:00:00,1.2600,1.3500,1.2900,1.2000,424716342
002717.SZ,岭南股份,2024-09-10 00:00:00,1.2600,1.2900,1.2000,1.1600,305572950
002717.SZ,岭南股份,2024-09-11 00:00:00,1.2500,1.2900,1.2300,1.2100,261842630
002717.SZ,岭南股份,2024-09-12 00:00:00,1.2100,1.3500,1.3500,1.1700,286502663
002717.SZ,岭南股份,2024-09-13 00:00:00,1.3900,1.4900,1.4900,1.3700,245118555
002717.SZ,岭南股份,2024-09-18 00:00:00,1.5500,1.6400,1.4200,1.4100,584312160
